epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,878.173,1.11677,0.81508,0.98544,0.93563,0.94755,0.96921,0.65433,1.10281,0.76335,1.02475,0.000458,0.000458,0.000458
66,891.718,1.12367,0.83055,1.00883,0.90322,0.94004,0.96323,0.65593,1.12188,0.77569,1.03394,0.000445625,0.000445625,0.000445625
67,906.183,1.11789,0.81697,0.98528,0.92105,0.92729,0.96004,0.63712,1.13573,0.77539,1.037,0.00043325,0.00043325,0.00043325
68,920.123,1.08235,0.79551,0.98031,0.92335,0.93459,0.9608,0.64531,1.12458,0.76923,1.02507,0.000420875,0.000420875,0.000420875
69,933.687,1.11061,0.80445,0.99232,0.91807,0.92706,0.96715,0.65325,1.09862,0.76867,1.01451,0.0004085,0.0004085,0.0004085
70,947.378,1.1027,0.8096,0.9955,0.91807,0.92706,0.96715,0.65325,1.09862,0.76867,1.01451,0.000396125,0.000396125,0.000396125
71,961.058,1.08246,0.77749,0.97411,0.9031,0.93488,0.95757,0.65692,1.08822,0.77493,1.01501,0.00038375,0.00038375,0.00038375
72,974.63,1.07537,0.77229,0.98636,0.94622,0.92152,0.96263,0.65024,1.10785,0.77351,1.02891,0.000371375,0.000371375,0.000371375
73,988.101,1.08064,0.79751,0.99269,0.93563,0.92515,0.96675,0.64694,1.1172,0.76334,1.03667,0.000359,0.000359,0.000359
74,1001.68,1.06243,0.75118,0.98176,0.90606,0.95309,0.96511,0.66272,1.08231,0.75203,1.01793,0.000346625,0.000346625,0.000346625
75,1015.35,1.08347,0.78805,0.97931,0.9116,0.94748,0.96604,0.66869,1.07205,0.74495,1.01261,0.00033425,0.00033425,0.00033425
76,1029.06,1.06351,0.79958,0.98731,0.93378,0.92066,0.9653,0.66509,1.08019,0.74952,1.01579,0.000321875,0.000321875,0.000321875
77,1042.34,1.07902,0.78267,0.97904,0.92702,0.91204,0.95963,0.66407,1.08915,0.75138,1.01794,0.0003095,0.0003095,0.0003095
78,1055.85,1.07885,0.77813,0.97712,0.92702,0.91204,0.95963,0.66407,1.08915,0.75138,1.01794,0.000297125,0.000297125,0.000297125
79,1069.47,1.07478,0.79339,0.9892,0.93941,0.9172,0.96695,0.66118,1.09954,0.74332,1.02404,0.00028475,0.00028475,0.00028475
80,1083.44,1.08204,0.77651,0.97641,0.9315,0.92181,0.96878,0.66409,1.09303,0.73768,1.02226,0.000272375,0.000272375,0.000272375
81,1096.92,1.10277,0.76818,0.96425,0.92755,0.94043,0.96967,0.66748,1.0818,0.73693,1.01667,0.00026,0.00026,0.00026
82,1110.37,1.03989,0.78056,0.97937,0.93024,0.94298,0.96939,0.66781,1.08296,0.73633,1.01728,0.000247625,0.000247625,0.000247625
83,1124,1.05648,0.75483,0.98498,0.93219,0.9462,0.97045,0.66621,1.08433,0.73862,1.0168,0.00023525,0.00023525,0.00023525
84,1137.81,1.05388,0.74941,0.96199,0.92206,0.94719,0.96944,0.66332,1.09016,0.74056,1.01827,0.000222875,0.000222875,0.000222875
85,1151.42,1.0851,0.76074,0.97117,0.92349,0.93087,0.96409,0.66353,1.09314,0.7439,1.01992,0.0002105,0.0002105,0.0002105
86,1165.21,1.07957,0.74999,0.9682,0.92349,0.93087,0.96409,0.66353,1.09314,0.7439,1.01992,0.000198125,0.000198125,0.000198125
87,1179.02,1.07309,0.75685,0.97725,0.94358,0.93039,0.96376,0.65915,1.08985,0.74177,1.01864,0.00018575,0.00018575,0.00018575
88,1192.83,1.07768,0.76687,0.95027,0.95335,0.94022,0.97176,0.67082,1.08151,0.74032,1.01565,0.000173375,0.000173375,0.000173375
89,1206.65,1.11815,0.79042,0.98001,0.94538,0.95229,0.97118,0.66765,1.08025,0.73947,1.01396,0.000161,0.000161,0.000161
90,1220.48,1.06404,0.73792,0.96712,0.94192,0.95275,0.96999,0.6644,1.08228,0.73692,1.01449,0.000148625,0.000148625,0.000148625
91,1233.82,1.05626,0.86793,1.00046,0.91804,0.9529,0.96821,0.65787,1.08538,0.73116,1.01705,0.00013625,0.00013625,0.00013625
92,1247.32,1.04057,0.82397,0.99131,0.90623,0.94754,0.95381,0.65397,1.0901,0.73537,1.02205,0.000123875,0.000123875,0.000123875
93,1260.54,1.03543,0.82752,0.97902,0.90603,0.94704,0.95159,0.65073,1.09785,0.74687,1.02688,0.0001115,0.0001115,0.0001115
94,1274,1.03869,0.81012,0.98079,0.90603,0.94704,0.95159,0.65073,1.09785,0.74687,1.02688,9.9125e-05,9.9125e-05,9.9125e-05
95,1287.51,1.04178,0.82154,0.97832,0.91135,0.94198,0.95156,0.652,1.10106,0.75517,1.02812,8.675e-05,8.675e-05,8.675e-05
96,1301.02,1.04071,0.81122,0.98599,0.91404,0.93028,0.95218,0.65131,1.10127,0.76345,1.02676,7.4375e-05,7.4375e-05,7.4375e-05
97,1314.45,1.02455,0.79442,0.9726,0.90997,0.927,0.95398,0.65366,1.10406,0.76487,1.02989,6.2e-05,6.2e-05,6.2e-05
98,1328.07,1.02492,0.78048,0.96843,0.90944,0.91742,0.95667,0.65114,1.10515,0.76545,1.03116,4.9625e-05,4.9625e-05,4.9625e-05
99,1341.46,1.01441,0.76521,0.97521,0.90677,0.91586,0.9573,0.65361,1.10445,0.76443,1.03115,3.725e-05,3.725e-05,3.725e-05
100,1354.88,1.01472,0.74386,0.97602,0.91899,0.90667,0.95769,0.65327,1.10472,0.76525,1.03143,2.4875e-05,2.4875e-05,2.4875e-05
